الجمع | الجمع | null | تاج اللغة وصِحاح العربية للجوهري | [الجمع] لصاب ولُصوبٌ. وفلانٌ لَحِزٌ لَصِبٌ: لا يكاد يعطي شيئاً. ولَصِبَ الخاتَمُ في الإصبع، وهو ضدُّ قَلِقَ. واللواصب في شعر كثَيِّر : الآبار الضيقة ا
الجمع | الجمعُ | null | القاموس المحيط للفيروزآبادي | الجمعُ، كالمَنْعِ: تأْليفُ المُتَفَرِّقِ، والدَّقَلُ، أو صِنْفٌ من التَّمْرِ، أو النَّخْلُ خرجَ من النَّوى لا يُعْرَفُ اسمُهُ، والقِيامَةُ، والصمغُ ال
الجمع | الجمعُ | null | معجم مقاليد العلوم للسيوطي | الجمعُ: أَن تجمع بَين مُتَعَدد فِي حكم.
الجمع | الجَمْعُ | null | معجم مقاليد العلوم للسيوطي | الجَمْعُ: أَن تكون الهموم كلهَا هما وَاحِدًا، فَتَصِير ذَلِك حَالا لَهُ، وَقيل: جمع الْأَسْرَار بِأَنَّهُ لَيْسَ مِنْهُ بُد، وقهرها فِيهِ إِذْ لَا شبه
الجمع | الجمع | null | التوقيف على مهمات التعاريف للمناوي | الجمع: ضم ما شأنه الافتراق والتنافر ذكره الحرالي. وقال الراغب: ضم الشيء بعضه من بعض. والجماع يقال في أقوام متفاوتة اجتمعوا، وأجمعت كذا وأكثر ما يقال ف
الجمع | الجمع | null | كشّاف اصطلاحات الفنون والعلوم للتهانوي | الجمع:[في الانكليزية] Groupe of people ،crowd ،addition ،sum ،plural ،union [ في الفرنسية] Groupe de gens ،foule ،addition ،somme ،pluriel بالفتح وسكو
الجمع | الْجمع | null | المعجم الوسيط لمجموعة من المؤلفين | (الْجمع) الْجَمَاعَة والمجتمعون والجيش وَالنَّخْل ينْبت من نوى غير مَعْرُوف الصِّنْف وتمر مختلط من أَنْوَاع مُتَفَرِّقَة لَيْسَ مرغوبا فِيهَا والصمغ ا
الجمع | الجمع | null | مختصر العبارات لمعجم مصطلحات القراءات للدوسري | الجمع:القراءة بأكثر من رواية في ختمة واحدة، ويعمل به في مقام التعليم، بشروط وأحكام مفصلة، ويسمى عند المغاربة بـ (الإرداف) لأنه يتبع الوجه تلو الوجه، و
الجمع | الْجمع | null | دستور العلماء للأحمدنكري | الْجمع: فِي عرف النُّحَاة مَا دلّ على جملَة آحَاد مَقْصُودَة بحروف مُفْردَة بِتَغَيُّر مَا. وَعند الصُّوفِيَّة شُهُود الْإِسْنَاد بِاللَّه والتبري من 
الجمع | الجَمْع | noun | المعجم الكبير | الجماعة من كلِّ شيءٍ المُجْتَمِعون الجَيْش
الجمع | الجَمْع | noun | المعجم الكبير | المَوْضِعُ الذى يَجْتَمِعون فيه نَخْلٌ يَنْبُتُ من نَوَى غَيْرِ مَعْروفِ الصِّنْفِ كلُّ صِنْفٍ من التَّمْرِ مُخْتَلِطٌ من أنواعٍ مُتَفَرِّقة , ولَيْس 
الجمع | الجُمْعُ | noun | المعجم الكبير | المُجْتَمِعُ يقال: ضَرَبَه بجُمْع كَفِّهِ: أو بجُمْع يَدِه: ضَرَبَه بها مَقْبُوضَةَ الأصابع جاءَ فلانٌ بقُبضةٍ مِلءَ جُمْعِه, أى مِلء كفِّه مَقْبوصةً 
الجمع | الجَمْع | noun | المعجم الوسيط | الجماعة المجتمعون الجيش النخل ينبتُ من نوى غير معروف الصنف تمرٌ مختلط من أنواع متفرقة ليس مرغوباً فيه الصمغ الأحمر (في علم الرياضة): ضَمُّ الأعداد أو 
الجمع | الجُمْع | noun | المعجم الوسيط | المُجْتَمَعُ, يقال: ضربه بجَمْع يده: ضربه بها مقبوضة أعطاه من الدراهم جَمْع الكفّ: مِلأها أخذ بجَمْع ثيابه: بمُجْتَمَعِها أَمْرُهُمْ بجَمْع: مكتوم مست
الجمهرة | الجمهرة | null | المعجم الوسيط لمجموعة من المؤلفين | (الجمهرة) من كل شَيْء معظمه (ج) جماهر
الجمهرة | الجمهرة | proper_noun | المعجم الكبير | كتاب لغوي لأبي بكر بن دريد.
الجمهرة | الجَمْهَرَةُ | noun | المعجم الكبير | المُجْتَمَعُ اسمٌ لِعدَّةِ كُتُبٍ منها : "جَمْهَرَةُ أشعارِ العَرَبِ " لأبي زَيْدِ القُرَشِيّ, و " جَمْهَرَةُ اللُّغَة " لابْنِ دُرَيْد, و " جَمْهَرَة
الجمهرة | الجُمْهُرة | noun | المعجم الوسيط | من كلِّ شيء: معظمه
